platform,link_type,link_value,client_id,status,notes,created_at
mediasmart,eventid,newad_brazil-dzynxhmnrdg2ec0czgdiabqmwvy0qhgj,luckbet_bea15ebc,active,,2026-05-26
mediasmart,eventid,newad_brazil-2ruu4wonoghjuhvngq7lz3xbxcx6mcui,banco_cora_fe13d78a,active,,2026-05-26
mediasmart,eventid,newad_brazil-oqdfn8xxlwghvcsezq0ixv7ldvckzozp,amigo_db1c2f0c,pending_confirmation,aguardando confirmacao comercial Amigo vs TecPar,2026-05-26
mediasmart,eventid,newad_brazil-nvwu1cidagrt331cqxqvatuyauxjtofa,casa_construtor_adf15c2c,active,,2026-05-26
mediasmart,eventid,newad_brazil-a5e1oyk9h6lgr3mhby5exudluugkiuma,dr_consulta_rj_11040bf9,pending_confirmation,aguardando confirmacao comercial Dr Consulta vs RJ,2026-05-26
mediasmart,eventid,newad_brazil-oignlzzcisjwprmdxjlilzc3v1j28fi1,einstein_6b33a588,active,,2026-05-26
mediasmart,eventid,newad_brazil-lmslprwlhne8cbxmbatffxhsspboav5q,aperam_14d1f27e,active,,2026-05-26
mediasmart,eventid,newad_brazil-4au3o3liw2fjujlj6bup6fm05xyqm8a1,stocco_b712c66e,pending_confirmation,aguardando confirmacao comercial Stocco vs Stoquinho,2026-05-26
mediasmart,eventid,newad_brazil-1viks0pwxjnv2hafcvkdjajucmfxxlnq,mrv_f19a2136,active,,2026-05-26
mediasmart,eventid,newad_brazil-neu83z5jjnkcnrbmwwxjsrzzfwaigdx7,,unresolved,eventid compartilhado por Pardini e Ocupacional — aguardando esclarecimento,2026-05-26
mediasmart,eventid,newad_brazil-mew7xi9ewnwy7xysvolgxa6whskxtmmu,efi_bank_ee79e91b,active,,2026-05-26
mediasmart,eventid,newad_brazil-0ormcgkknfdbfjkmqeoxbbdwl5xsxng7,fox_lux_55ed8992,active,,2026-05-26
mediasmart,eventid,newad_brazil-plbe1ab6ic2aoxdlelqrb4h5v2xxqtus,dooing_994db77e,active,,2026-05-26
mediasmart,eventid,newad_brazil-fqpt3ef3uv6gubwadgcrxdjmlum7njnx,caloi_8ac28140,pending_confirmation,CALOI — pendente confirmacao comercial; 689K imp no MediaSmart,2026-05-26
siprocal,advertiser,LUCKBET,luckbet_bea15ebc,active,,2026-05-26
siprocal,advertiser,AMIGOTECPAR,amigo_db1c2f0c,pending_confirmation,advertiser unico que cobre Amigo+TecPar no Siprocal; separar quando comercial confirmar,2026-05-26
siprocal,advertiser,TECPAR,tecpar_edfcc744,pending_confirmation,aguardando confirmacao comercial,2026-05-26
siprocal,advertiser,APERAM,aperam_14d1f27e,active,,2026-05-26
siprocal,advertiser,DRCONSULTA,dr_consulta_215378ef,active,,2026-05-26
siprocal,advertiser,BANCOCORA,banco_cora_fe13d78a,active,,2026-05-26
siprocal,advertiser,DOOING,dooing_994db77e,active,,2026-05-26
siprocal,advertiser,PARDINI,pardini_60395024,active,,2026-05-26
mgid,campaignid,12220857,luckbet_bea15ebc,active,,2026-05-26
mgid,campaignid,12246847,luckbet_bea15ebc,active,,2026-05-26
mgid,campaignid,12212612,luckbet_bea15ebc,active,,2026-05-26
mgid,campaignid,12273475,luckbet_bea15ebc,active,,2026-05-26
mgid,campaignid,12246849,luckbet_bea15ebc,active,,2026-05-26
mgid,campaignid,12220858,luckbet_bea15ebc,active,,2026-05-26
mgid,campaignid,12333892,luckbet_bea15ebc,active,,2026-05-26
mgid,campaignid,12372673,luckbet_bea15ebc,active,,2026-05-26
mgid,campaignid,12372675,luckbet_bea15ebc,active,,2026-05-26
mgid,campaignid,12212704,luckbet_bea15ebc,active,,2026-05-26
mgid,campaignid,12273319,aperam_14d1f27e,active,,2026-05-26
mgid,campaignid,12251786,aperam_14d1f27e,active,,2026-05-26
mgid,campaignid,12301954,aperam_14d1f27e,active,,2026-05-26
mgid,campaignid,12322530,aperam_14d1f27e,active,,2026-05-26
mgid,campaignid,12322529,aperam_14d1f27e,active,,2026-05-26
mgid,campaignid,12251219,aperam_14d1f27e,active,,2026-05-26
mgid,campaignid,12301953,aperam_14d1f27e,active,,2026-05-26
mgid,campaignid,12273321,aperam_14d1f27e,active,,2026-05-26
mgid,campaignid,12321171,dr_consulta_215378ef,active,,2026-05-26
mgid,campaignid,12297181,dr_consulta_215378ef,active,,2026-05-26
mgid,campaignid,12321172,dr_consulta_215378ef,active,,2026-05-26
mgid,campaignid,12297182,dr_consulta_215378ef,active,,2026-05-26
mgid,campaignid,12241369,fox_lux_55ed8992,active,,2026-05-26
mgid,campaignid,12246818,banco_cora_fe13d78a,active,,2026-05-26
mgid,campaignid,12273458,banco_cora_fe13d78a,active,,2026-05-26
mgid,campaignid,12298849,banco_cora_fe13d78a,active,,2026-05-26
mgid,campaignid,12220919,banco_cora_fe13d78a,active,,2026-05-26
mgid,campaignid,12196874,banco_cora_fe13d78a,active,,2026-05-26
mgid,campaignid,12326714,banco_cora_fe13d78a,active,,2026-05-26
mgid,campaignid,12339730,banco_cora_fe13d78a,active,,2026-05-26
mgid,campaignid,12368531,banco_cora_fe13d78a,active,,2026-05-26
mgid,campaignid,12400006,banco_cora_fe13d78a,active,,2026-05-26
mgid,campaignid,12298848,banco_cora_fe13d78a,active,,2026-05-26
mgid,campaignid,12196873,banco_cora_fe13d78a,active,,2026-05-26
mgid,campaignid,12246817,banco_cora_fe13d78a,active,,2026-05-26
